id_pessoa;numero;tipo
1;697-555-0142;1
2;819-555-0175;3
3;212-555-0187;1
4;612-555-0100;1
5;849-555-0139;1
6;122-555-0189;3
7;181-555-0156;3
8;815-555-0138;1
9;185-555-0186;1
10;330-555-2568;3
11;719-555-0181;1
12;168-555-0183;3
13;473-555-0117;3
14;465-555-0156;1
15;970-555-0138;1
16;913-555-0172;3
17;150-555-0189;1
18;486-555-0150;3
19;124-555-0114;1
20;708-555-0141;3
21;138-555-0118;1
22;399-555-0176;3
23;531-555-0183;3
24;510-555-0121;3
25;870-555-0122;3
26;913-555-0196;3
27;632-555-0129;1
28;320-555-0195;3
29;417-555-0154;3
30;955-555-0169;1
31;818-555-0128;1
32;314-555-0113;1
33;499-555-0125;3
34;753-555-0129;1
35;429-555-0137;1
36;587-555-0115;1
37;315-555-0144;1
38;208-555-0114;1
39;919-555-0140;3
40;903-555-0145;3
41;712-555-0113;1
42;119-555-0117;1
43;970-555-0118;1
44;963-555-0134;3
45;278-555-0118;1
46;173-555-0179;1
47;908-555-0159;1
48;145-555-0130;1
49;206-555-0180;3
50;424-555-0189;3
51;984-555-0185;3
52;328-555-0150;1
53;202-555-0151;1
54;264-555-0150;3
55;508-555-0165;3
56;869-555-0119;1
57;167-555-0139;3
58;138-555-0128;3
59;611-555-0116;3
60;768-555-0123;1
61;361-555-0180;3
62;435-555-0113;3
63;237-555-0128;1
64;582-555-0148;1
65;961-555-0122;1
66;447-555-0186;3
67;407-555-0165;3
68;931-555-0118;3
69;712-555-0170;3
70;712-555-0119;3
71;156-555-0199;1
72;925-555-0114;3
73;688-555-0192;1
74;199-555-0117;3
75;984-555-0148;3
76;609-555-0153;1
77;224-555-0187;3
78;191-555-0112;3
79;680-555-0118;1
80;166-555-0156;3
81;733-555-0128;3
82;521-555-0113;1
83;425-555-0117;1
84;203-555-0196;3
85;730-555-0117;1
86;208-555-0114;3
87;434-555-0133;1
88;405-555-0171;1
89;413-555-0124;1
90;500-555-0172;1
91;123-555-0167;3
92;295-555-0161;3
93;999-555-0155;3
94;786-555-0144;3
95;679-555-0113;3
96;318-555-0137;1
97;140-555-0132;3
98;990-555-0172;1
99;913-555-0184;1
100;582-555-0178;1
101;180-555-0136;1
102;113-555-0173;1
103;202-555-0187;1
104;283-555-0185;3
105;555-555-0113;3
106;254-555-0114;3
107;153-555-0166;1
108;794-555-0159;1
109;333-555-0173;1
110;299-555-0113;3
111;932-555-0161;3
112;172-555-0130;1
113;612-555-0171;1
114;637-555-0120;3
115;150-555-0194;1
116;441-555-0195;3
117;559-555-0175;3
118;100-555-0174;3
119;817-555-0186;3
120;785-555-0132;3
121;577-555-0185;3
122;943-555-0196;3
123;937-555-0137;3
124;309-555-0129;3
125;139-555-0120;1
126;927-555-0168;1
127;986-555-0177;1
128;147-555-0160;3
129;901-555-0125;1
130;238-555-0116;3
131;164-555-0114;3
132;508-555-0129;1
133;454-555-0119;3
134;260-555-0119;1
135;115-555-0179;3
136;492-555-0174;1
137;106-555-0120;3
138;587-555-0114;1
139;497-555-0181;1
140;129-555-0199;1
141;590-555-0152;3
142;306-555-0186;1
143;491-555-0183;1
144;727-555-0112;1
145;352-555-0138;1
146;952-555-0178;1
147;896-555-0168;3
148;571-555-0179;3
149;118-555-0110;1
150;296-555-0121;1
151;751-555-0134;1
152;965-555-0155;1
153;319-555-0139;3
154;226-555-0197;3
155;935-555-0116;3
156;200-555-0117;1
157;696-555-0157;3
158;991-555-0184;1
159;110-555-0115;3
160;350-555-0167;1
161;669-555-0150;3
162;777-555-0141;3
163;819-555-0198;3
164;207-555-0192;1
165;200-555-0112;1
166;552-555-0111;3
167;166-555-0162;1
168;609-555-0179;3
169;639-555-0164;1
170;518-555-0199;1
171;373-555-0142;3
172;234-555-0169;1
173;241-555-0191;1
174;533-555-0111;1
175;678-555-0110;3
176;118-555-0177;3
177;517-555-0122;3
178;663-555-0172;1
179;139-555-0131;3
180;809-555-0133;3
181;218-555-0126;3
182;143-555-0173;1
183;119-555-0192;1
184;201-555-0163;1
185;165-555-0113;1
186;810-555-0178;1
187;286-555-0189;3
188;808-555-0172;1
189;540-555-0191;3
190;589-555-0147;1
191;450-555-0152;1
192;142-555-0139;3
193;668-555-0130;3
194;818-555-0192;1
195;714-555-0138;3
196;793-555-0179;1
197;373-555-0137;1
198;845-555-0184;3
199;476-555-0119;1
200;158-555-0191;1
201;110-555-0182;1
202;368-555-0113;3
203;949-555-0174;3
204;310-555-0117;3
205;289-555-0196;1
206;413-555-0136;1
207;332-555-0150;3
208;391-555-0138;1
209;446-555-0118;3
210;319-555-0126;1
211;869-555-0125;3
212;164-555-0164;3
213;325-555-0137;3
214;181-555-0124;1
215;147-555-0179;1
216;420-555-0173;1
217;204-555-0115;1
218;910-555-0116;3
219;205-555-0132;1
220;746-555-0164;3
221;575-555-0126;1
222;992-555-0194;1
223;500-555-0159;1
224;148-555-0145;1
225;438-555-0172;3
226;313-555-0196;1
227;110-555-0112;1
228;846-555-0157;1
229;295-555-0161;1
230;539-555-0149;3
231;228-555-0159;1
232;720-555-0158;3
233;583-555-0182;3
234;615-555-0110;1
235;523-555-0175;1
236;955-555-0131;3
237;806-555-0136;3
238;153-555-0186;3
239;522-555-0147;3
240;778-555-0141;3
241;646-555-0185;3
242;602-555-0194;1
243;920-555-0177;1
244;935-555-0199;3
245;822-555-0145;1
246;117-555-0185;3
247;393-555-0186;3
248;927-555-0150;3
249;248-555-0134;3
250;210-555-0193;3
251;309-555-0170;3
252;848-555-0163;1
253;916-555-0165;1
254;520-555-0177;3
255;230-555-0144;1
256;163-555-0147;1
257;265-555-0195;3
258;842-555-0158;3
259;151-555-0113;3
260;125-555-0196;1
261;370-555-0163;3
262;477-555-0132;3
263;685-555-0120;3
264;594-555-0110;3
265;656-555-0119;3
266;310-555-0133;3
267;654-555-0177;3
268;182-555-0134;3
269;166-555-0159;3
270;785-555-0110;1
271;653-555-0144;3
272;623-555-0155;3
273;716-555-0127;1
274;238-555-0197;1
275;257-555-0154;1
276;883-555-0116;3
277;517-555-0117;3
278;922-555-0165;3
279;664-555-0112;3
280;340-555-0193;1
281;330-555-0120;1
282;185-555-0169;3
283;740-555-0182;3
284;615-555-0153;3
285;926-555-0182;3
