13231;7099;SuperiorCard;33334548430822;11;2005
13241;2704;Distinguish;55553241058625;5;2008
13242;5777;Distinguish;55554575453110;5;2008
13247;7045;SuperiorCard;33339506236322;3;2005
13249;6549;Distinguish;55557991221331;4;2007
13252;4791;SuperiorCard;33338441537220;3;2007
13253;4484;ColonialVoice;77775602803266;3;2006
13254;6058;SuperiorCard;33331798677852;12;2005
13260;6367;Vista;11115260292211;7;2007
13263;4627;Vista;11111676863039;2;2007
13266;6023;ColonialVoice;77779372909007;1;2006
13289;7608;Vista;11118593590032;3;2007
13291;4426;Distinguish;55551806003174;1;2006
13294;6827;SuperiorCard;33334743958687;4;2005
13296;4310;SuperiorCard;33339257596252;7;2008
13299;7397;ColonialVoice;77779861228199;9;2006
13304;8169;Vista;11113908897376;10;2008
13309;8065;SuperiorCard;33336279690357;7;2006
13312;2729;Vista;11111216639504;4;2008
13315;4787;ColonialVoice;77772183705795;5;2008
13321;7693;Distinguish;55556681633131;5;2008
14735;3223;Vista;11112489601259;12;2006
14737;8237;SuperiorCard;33331132642145;10;2006
14739;4894;Distinguish;55558880005176;1;2007
14742;8562;ColonialVoice;77774383346604;12;2005
14744;5373;Vista;11114974182332;5;2007
14751;3329;SuperiorCard;33334352720829;5;2006
14753;6258;Distinguish;55553740435223;7;2008
14762;3195;ColonialVoice;77779724619267;1;2008
14764;4424;Vista;11111698762965;4;2006
14770;4382;SuperiorCard;33339901321152;2;2008
14773;6085;Vista;11112209219238;5;2006
14774;2687;Distinguish;55557445081563;10;2006
14775;3675;Distinguish;55559839171602;6;2006
14781;6157;ColonialVoice;77771021085441;6;2008
14783;8735;Distinguish;55552546673747;8;2007
14789;4942;SuperiorCard;33338867591623;6;2007
14792;7732;Vista;11112221126579;10;2005
14797;6529;ColonialVoice;77776977264503;10;2008
14802;6011;SuperiorCard;33339767155317;6;2007
14804;4906;Vista;11118793274343;4;2008
14809;2714;Distinguish;55555092961549;11;2008
14812;6035;Vista;11115422216447;7;2008
14815;2649;ColonialVoice;77771210688283;4;2007
14817;3674;ColonialVoice;77777363264356;1;2005
14824;4120;SuperiorCard;33334221539486;6;2006
14826;7387;SuperiorCard;33334292503274;8;2007
14827;6473;SuperiorCard;33332073977059;8;2006
19154;1781;Distinguish;55552926968155;2;2008
19155;6790;SuperiorCard;33337763695830;12;2008
19157;5023;Vista;11111638723898;4;2006
19159;4580;ColonialVoice;77771350508466;4;2007
19165;7295;ColonialVoice;77774593079843;4;2008
19168;5981;ColonialVoice;77773588898191;7;2005
19169;7718;ColonialVoice;77778052342171;8;2007
19171;8149;SuperiorCard;33339052922832;10;2008
19174;8558;ColonialVoice;77771241743696;5;2005
19177;4663;ColonialVoice;77779727333495;10;2008
19185;7733;ColonialVoice;77776493372265;5;2007
19188;4467;Vista;11115327459923;3;2005
19194;3833;SuperiorCard;33333312713743;6;2006
19198;7955;SuperiorCard;33331475381476;11;2005
19200;5636;SuperiorCard;33338958517133;3;2008
19205;6349;Distinguish;55552793675951;11;2006
19207;4049;ColonialVoice;77771213307418;9;2006
19214;6823;Distinguish;55558072870300;1;2008
19215;4265;ColonialVoice;77776096112954;7;2006
19219;8197;Distinguish;55558015547422;5;2005
19224;3109;Vista;11111974990323;2;2007
19234;5371;ColonialVoice;77776270939729;11;2008
19238;2457;Distinguish;55558514707264;6;2007
19242;4972;Distinguish;55551161811793;12;2006
20474;3742;SuperiorCard;33333530976887;5;2007
20475;4172;Distinguish;55551300465271;1;2007
20477;6909;SuperiorCard;33335374539417;3;2005
20483;6282;ColonialVoice;77774240621578;7;2007
20486;5197;Vista;11112345615000;4;2008
20488;6838;SuperiorCard;33337999481809;5;2008
20498;4131;SuperiorCard;33339852510586;1;2008
20505;8514;ColonialVoice;77777845647823;5;2006
20506;7772;ColonialVoice;77779690294674;6;2006
20510;8519;SuperiorCard;33333502897031;7;2005
20516;5865;SuperiorCard;33332563715116;7;2007
20524;7139;Distinguish;55555438775535;10;2007
20525;6390;Vista;11113068834100;10;2006
20526;7210;Vista;11111940001260;5;2008
20530;8084;Distinguish;55556369921263;6;2007
11632;2806;SuperiorCard;33335887803316;4;2008
11635;8357;SuperiorCard;33332823712986;2;2006
11636;8524;SuperiorCard;33331554852952;1;2006
11639;7142;ColonialVoice;77777261922855;6;2006
11641;6387;ColonialVoice;77771157993864;7;2008
11646;3680;Distinguish;55553970511314;1;2007
11649;4707;ColonialVoice;77777059863634;1;2008
11650;5569;Vista;11112964606356;2;2006
11652;6017;Vista;11116531194989;5;2006
11659;4118;Vista;11114010278757;9;2007
11660;7290;Vista;11112771357615;2;2007
11662;6530;Distinguish;55551750062491;5;2006
11663;4296;SuperiorCard;33335037929930;6;2008
11665;6256;ColonialVoice;77772997544163;3;2006
11667;4154;ColonialVoice;77779813532971;8;2007
11669;2601;SuperiorCard;33332919976469;3;2007
11670;7741;Distinguish;55554488374308;9;2006
11675;4939;Vista;11117908341541;11;2006
11684;4992;ColonialVoice;77774828546737;6;2007
11685;5663;Distinguish;55552421776872;7;2006
11690;6793;ColonialVoice;77776661708317;9;2008
11692;5560;Vista;11115730117827;12;2006
11693;3220;Distinguish;55555326936199;12;2005
11697;5037;Distinguish;55551383583285;7;2006
11701;6680;Vista;11112293414522;9;2005
11706;4205;ColonialVoice;77776345185228;9;2005
11707;2688;SuperiorCard;33338168581364;1;2007
11710;8301;Distinguish;55553702772965;7;2006
11713;5770;Distinguish;55555993321477;2;2005
11719;4193;Distinguish;55553495920651;3;2006
11723;5637;Distinguish;55556345283110;11;2007
11725;5675;SuperiorCard;33337547584148;12;2008
11001;5454;ColonialVoice;77777460185390;9;2007
11005;6990;Distinguish;55552884683478;5;2006
11006;6229;ColonialVoice;77777277464450;8;2007
11007;3878;SuperiorCard;33331093876875;1;2007
11010;6377;SuperiorCard;33333341753518;3;2007
11014;2868;SuperiorCard;33333712178509;10;2008
11016;3800;Distinguish;55556588362239;12;2007
11017;2521;SuperiorCard;33339382928083;9;2008
11018;7394;Vista;11118789527097;7;2006
11019;5132;SuperiorCard;33331247883948;6;2006
11022;6522;SuperiorCard;33335862629303;4;2005
11023;4373;Distinguish;55556052298999;3;2006
